name,state,latitude,longitude,population,timezone,search_name
Mumbai,Maharashtra,19.07283,72.88261,12691836,Asia/Kolkata,mumbai maharashtra
Delhi,Delhi,28.65195,77.23149,11034555,Asia/Kolkata,delhi delhi
Bengaluru,Karnataka,12.97194,77.59369,8495492,Asia/Kolkata,bengaluru karnataka
Hyderabad,Telangana,17.38405,78.45636,6993262,Asia/Kolkata,hyderabad telangana
Ahmedabad,Goa,23.02579,72.58727,6357693,Asia/Kolkata,ahmedabad goa
Chennai,Tamil Nadu,13.08784,80.27847,4681087,Asia/Kolkata,chennai tamil nadu
Kolkata,West Bengal,22.56263,88.36304,4631392,Asia/Kolkata,kolkata west bengal
Surat,Goa,21.19594,72.83023,4591246,Asia/Kolkata,surat goa
Pune,Maharashtra,18.51957,73.85535,3124458,Asia/Kolkata,pune maharashtra
Jaipur,Rajasthan,26.91962,75.78781,3046163,Asia/Kolkata,jaipur rajasthan
Kanpur,Uttar Pradesh,26.46523,80.34975,2823249,Asia/Kolkata,kanpur uttar pradesh
Navi Mumbai,Maharashtra,19.03681,73.01582,2600000,Asia/Kolkata,navi mumbai maharashtra
Lucknow,Uttar Pradesh,26.83928,80.92313,2472011,Asia/Kolkata,lucknow uttar pradesh
Nagpur,Maharashtra,21.14631,79.08491,2405665,Asia/Kolkata,nagpur maharashtra
Coimbatore,Tamil Nadu,11.00555,76.96612,2136916,Asia/Kolkata,coimbatore tamil nadu
Indore,Madhya Pradesh,22.71792,75.8333,1994397,Asia/Kolkata,indore madhya pradesh
Thāne,Maharashtra,19.19704,72.96355,1841488,Asia/Kolkata,thāne maharashtra
Vadodara,Goa,22.29941,73.20812,1822221,Asia/Kolkata,vadodara goa
Bhopal,Madhya Pradesh,23.25469,77.40289,1798218,Asia/Kolkata,bhopal madhya pradesh
Rasapūdipalem,Andhra Pradesh,17.73308,83.31622,1728128,Asia/Kolkata,rasapūdipalem andhra pradesh
Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,1727692,Asia/Kolkata,pimpri-chinchwad maharashtra
Patna,Bihar,25.59408,85.13563,1684297,Asia/Kolkata,patna bihar
Kallakurichi,Tamil Nadu,11.73379,78.95925,1682687,Asia/Kolkata,kallakurichi tamil nadu
Ludhiana,Punjab,30.91204,75.85379,1618879,Asia/Kolkata,ludhiana punjab
Nashik,Maharashtra,19.99727,73.79096,1486053,Asia/Kolkata,nashik maharashtra
Madurai,Tamil Nadu,9.919,78.11953,1465625,Asia/Kolkata,madurai tamil nadu
Tirunelveli,Tamil Nadu,8.72742,77.6838,1435844,Asia/Kolkata,tirunelveli tamil nadu
Agra,Uttar Pradesh,27.18333,78.01667,1430055,Asia/Kolkata,agra uttar pradesh
Faridabad,Gujarat,28.41124,77.31316,1414050,Asia/Kolkata,faridabad gujarat
Rājkot,Goa,22.29161,70.79322,1390640,Asia/Kolkata,rājkot goa
Najafgarh,Delhi,28.60922,76.97982,1365000,Asia/Kolkata,najafgarh delhi
Jamshedpur,Unknown,22.80278,86.18545,1339438,Asia/Kolkata,jamshedpur unknown
Gorakhpur,Gujarat,29.44768,75.67206,1324570,Asia/Kolkata,gorakhpur gujarat
Pimpri,Maharashtra,18.62292,73.80696,1284606,Asia/Kolkata,pimpri maharashtra
Kalyān,Maharashtra,19.2437,73.13554,1262255,Asia/Kolkata,kalyān maharashtra
Dombivali,Maharashtra,19.21667,73.08333,1247327,Asia/Kolkata,dombivali maharashtra
Meerut,Uttar Pradesh,28.98002,77.70636,1223184,Asia/Kolkata,meerut uttar pradesh
Virār,Maharashtra,19.45591,72.81136,1222390,Asia/Kolkata,virār maharashtra
Nowrangapur,Odisha,19.23114,82.54826,1220946,Asia/Kolkata,nowrangapur odisha
Srinagar,Jammu and Kashmir,34.08565,74.80555,1206419,Asia/Kolkata,srinagar jammu and kashmir
Ghāziābād,Uttar Pradesh,28.66535,77.43915,1199191,Asia/Kolkata,ghāziābād uttar pradesh
Dhanbad,Unknown,23.79759,86.42992,1196214,Asia/Kolkata,dhanbad unknown
Aurangabad,Maharashtra,19.87757,75.34226,1175116,Asia/Kolkata,aurangabad maharashtra
Varanasi,Uttar Pradesh,25.31668,83.01041,1164404,Asia/Kolkata,varanasi uttar pradesh
Amritsar,Punjab,31.62234,74.87534,1159227,Asia/Kolkata,amritsar punjab
Vijayawada,Andhra Pradesh,16.50745,80.6466,1143232,Asia/Kolkata,vijayawada andhra pradesh
Ranchi,Unknown,23.34316,85.3094,1120374,Asia/Kolkata,ranchi unknown
Jabalpur,Madhya Pradesh,23.16697,79.95006,1081677,Asia/Kolkata,jabalpur madhya pradesh
Prayagraj,Uttar Pradesh,25.44478,81.84322,1073438,Asia/Kolkata,prayagraj uttar pradesh
Visakhapatnam,Andhra Pradesh,17.68009,83.20161,1063178,Asia/Kolkata,visakhapatnam andhra pradesh
Jodhpur,Rajasthan,26.26841,73.00594,1056191,Asia/Kolkata,jodhpur rajasthan
Gwalior,Madhya Pradesh,26.22983,78.17337,1054420,Asia/Kolkata,gwalior madhya pradesh
Teni,Tamil Nadu,10.01115,77.47772,1034724,Asia/Kolkata,teni tamil nadu
Howrah,West Bengal,22.57688,88.31857,1027672,Asia/Kolkata,howrah west bengal
Raipur,Unknown,21.23333,81.63333,1027264,Asia/Kolkata,raipur unknown
Tiruchirappalli,Tamil Nadu,10.8155,78.69651,1022518,Asia/Kolkata,tiruchirappalli tamil nadu
Kota,Rajasthan,25.18254,75.83907,1001694,Asia/Kolkata,kota rajasthan
Shivaji Nagar,Maharashtra,18.53017,73.85263,1000000,Asia/Kolkata,shivaji nagar maharashtra
Sholapur,Maharashtra,17.67152,75.91044,997281,Asia/Kolkata,sholapur maharashtra
Chandigarh,Bihar,30.73629,76.7884,970602,Asia/Kolkata,chandigarh bihar
Tiruppur,Tamil Nadu,11.11541,77.35456,963173,Asia/Kolkata,tiruppur tamil nadu
Guwahati,Arunachal Pradesh,26.1844,91.7458,962334,Asia/Kolkata,guwahati arunachal pradesh
Hubballi,Karnataka,15.34776,75.13378,943788,Asia/Kolkata,hubballi karnataka
Mysuru,Karnataka,12.29791,76.63925,920550,Asia/Kolkata,mysuru karnataka
Salem,Tamil Nadu,11.65376,78.15538,917414,Asia/Kolkata,salem tamil nadu
Gurugram,Gujarat,28.4601,77.02635,886519,Asia/Kolkata,gurugram gujarat
Bhubaneswar,Odisha,20.27241,85.83385,885363,Asia/Kolkata,bhubaneswar odisha
Bhiwandi,Maharashtra,19.30023,73.05881,874032,Asia/Kolkata,bhiwandi maharashtra
Jalandhar,Punjab,31.32556,75.57917,868929,Asia/Kolkata,jalandhar punjab
Rohini,Delhi,28.74322,77.06778,860000,Asia/Kolkata,rohini delhi
Kanayannur,Kerala,9.96667,76.26667,851406,Asia/Kolkata,kanayannur kerala
Bhayandar,Maharashtra,19.30157,72.85107,809378,Asia/Kolkata,bhayandar maharashtra
Narela,Delhi,28.85267,77.09288,800000,Asia/Kolkata,narela delhi
Thiruvananthapuram,Kerala,8.4855,76.94924,788271,Asia/Kolkata,thiruvananthapuram kerala
Alīgarh,Uttar Pradesh,27.88145,78.07464,753207,Asia/Kolkata,alīgarh uttar pradesh
Bareilly,Uttar Pradesh,28.36678,79.43167,745435,Asia/Kolkata,bareilly uttar pradesh
Morādābād,Uttar Pradesh,28.83893,78.77684,721139,Asia/Kolkata,morādābād uttar pradesh
Warangal,Telangana,18,79.58333,704570,Asia/Kolkata,warangal telangana
Dhārāvi,Maharashtra,19.05,72.86667,700000,Asia/Kolkata,dhārāvi maharashtra
Gorakhpur,Uttar Pradesh,26.76628,83.36889,674246,Asia/Kolkata,gorakhpur uttar pradesh
Guntur,Andhra Pradesh,16.29974,80.45729,670073,Asia/Kolkata,guntur andhra pradesh
Puducherry,Puducherry,11.93381,79.82979,657209,Asia/Kolkata,puducherry puducherry
Amravati,Maharashtra,20.93333,77.75,647057,Asia/Kolkata,amravati maharashtra
Bikaner,Rajasthan,28.01762,73.31495,644406,Asia/Kolkata,bikaner rajasthan
Kochi,Kerala,9.93988,76.26022,633553,Asia/Kolkata,kochi kerala
Bhilai,Unknown,21.20919,81.4285,627734,Asia/Kolkata,bhilai unknown
Cuttack,Odisha,20.46497,85.87927,610189,Asia/Kolkata,cuttack odisha
Borivli,Maharashtra,19.23496,72.85976,609617,Asia/Kolkata,borivli maharashtra
Bhavnagar,Goa,21.76287,72.15331,605882,Asia/Kolkata,bhavnagar goa
Sāngli,Maharashtra,16.85438,74.56417,601214,Asia/Kolkata,sāngli maharashtra
Jamnagar,Goa,22.47292,70.06673,600943,Asia/Kolkata,jamnagar goa
Jammu,Jammu and Kashmir,32.73528,74.86167,576198,Asia/Kolkata,jammu jammu and kashmir
Bokāro,Unknown,23.66934,86.15161,564319,Asia/Kolkata,bokāro unknown
Nanded,Maharashtra,19.16023,77.31497,550564,Asia/Kolkata,nanded maharashtra
Kozhikode,Kerala,11.24802,75.7804,550440,Asia/Kolkata,kozhikode kerala
Kolhāpur,Maharashtra,16.69563,74.23167,549236,Asia/Kolkata,kolhāpur maharashtra
Nellore,Andhra Pradesh,14.44992,79.98697,547621,Asia/Kolkata,nellore andhra pradesh
Kalaburagi,Karnataka,17.33583,76.83757,543147,Asia/Kolkata,kalaburagi karnataka
Ajmer,Rajasthan,26.4521,74.63867,542321,Asia/Kolkata,ajmer rajasthan
Dehradun,Uttarakhand,30.32443,78.03392,522081,Asia/Kolkata,dehradun uttarakhand
Erode,Tamil Nadu,11.3428,77.72741,521891,Asia/Kolkata,erode tamil nadu
Durgapur,West Bengal,23.51583,87.30801,518872,Asia/Kolkata,durgapur west bengal
Ulhasnagar,Maharashtra,19.21667,73.15,516584,Asia/Kolkata,ulhasnagar maharashtra
Loni,Uttar Pradesh,28.75143,77.29023,516082,Asia/Kolkata,loni uttar pradesh
Siliguri,West Bengal,26.71004,88.42851,515574,Asia/Kolkata,siliguri west bengal
Ujjain,Madhya Pradesh,23.18239,75.77643,515215,Asia/Kolkata,ujjain madhya pradesh
Bilimora,Goa,20.76957,72.96134,510879,Asia/Kolkata,bilimora goa
Karol Bāgh,Delhi,28.65136,77.19072,505241,Asia/Kolkata,karol bāgh delhi
Āsansol,West Bengal,23.68333,86.98333,504271,Asia/Kolkata,āsansol west bengal
Mangaluru,Karnataka,12.91723,74.85603,499487,Asia/Kolkata,mangaluru karnataka
Belagavi,Karnataka,15.85212,74.50447,490045,Asia/Kolkata,belagavi karnataka
Sahāranpur,Uttar Pradesh,29.9679,77.54522,484873,Asia/Kolkata,sahāranpur uttar pradesh
Vellore,Tamil Nadu,12.9184,79.13255,484690,Asia/Kolkata,vellore tamil nadu
Bhātpāra,West Bengal,22.86643,88.40113,483129,Asia/Kolkata,bhātpāra west bengal
Malegaon,Maharashtra,20.54966,74.53462,481228,Asia/Kolkata,malegaon maharashtra
Gaya,Bihar,24.79686,85.00385,474093,Asia/Kolkata,gaya bihar
Ambattur,Tamil Nadu,13.09818,80.16152,466205,Asia/Kolkata,ambattur tamil nadu
Jalgaon,Maharashtra,21.00292,75.56602,460228,Asia/Kolkata,jalgaon maharashtra
Kurnool,Andhra Pradesh,15.82887,78.03602,460184,Asia/Kolkata,kurnool andhra pradesh
Rāmgundam,Telangana,18.80084,79.45206,452261,Asia/Kolkata,rāmgundam telangana
Udaipur,Rajasthan,24.58584,73.71346,451100,Asia/Kolkata,udaipur rajasthan
Maheshtala,West Bengal,22.50862,88.25322,448317,Asia/Kolkata,maheshtala west bengal
Patiāla,Punjab,30.33625,76.3922,446246,Asia/Kolkata,patiāla punjab
Shyamnagar,West Bengal,22.83333,88.36667,441956,Asia/Kolkata,shyamnagar west bengal
Davangere,Karnataka,14.46693,75.92694,435128,Asia/Kolkata,davangere karnataka
Akola,Maharashtra,20.70957,76.9981,428857,Asia/Kolkata,akola maharashtra
Rajpur Sonarpur,West Bengal,22.4382,88.43205,424368,Asia/Kolkata,rajpur sonarpur west bengal
Korba,Unknown,22.3458,82.69633,419146,Asia/Kolkata,korba unknown
Jhānsi,Uttar Pradesh,25.45887,78.57994,412927,Asia/Kolkata,jhānsi uttar pradesh
Thoothukudi,Tamil Nadu,8.76735,78.13425,410760,Asia/Kolkata,thoothukudi tamil nadu
Ballari,Karnataka,15.14205,76.92398,410445,Asia/Kolkata,ballari karnataka
Bhāgalpur,Bihar,25.24446,86.97183,400146,Asia/Kolkata,bhāgalpur bihar
Agartala,Tripura,23.83605,91.27939,400004,Asia/Kolkata,agartala tripura
Kākināda,Andhra Pradesh,16.96036,82.23809,384182,Asia/Kolkata,kākināda andhra pradesh
Latur,Maharashtra,18.39721,76.56784,382940,Asia/Kolkata,latur maharashtra
Pānihāti,West Bengal,22.69089,88.37404,378705,Asia/Kolkata,pānihāti west bengal
Rajamahendravaram,Andhra Pradesh,17.00517,81.77784,376333,Asia/Kolkata,rajamahendravaram andhra pradesh
Dhule,Maharashtra,20.9013,74.77737,375559,Asia/Kolkata,dhule maharashtra
Rohtak,Gujarat,28.89447,76.58917,374292,Asia/Kolkata,rohtak gujarat
Ahilyanagar,Maharashtra,19.09457,74.73843,367140,Asia/Kolkata,ahilyanagar maharashtra
Kollam,Kerala,8.88113,76.58469,367107,Asia/Kolkata,kollam kerala
Bilāspur,Unknown,22.08005,82.15543,365579,Asia/Kolkata,bilāspur unknown
Bhilwara,Rajasthan,25.34707,74.64081,359483,Asia/Kolkata,bhilwara rajasthan
Brahmapur,Odisha,19.31151,84.7929,356598,Asia/Kolkata,brahmapur odisha
Muzaffarpur,Bihar,26.12259,85.39055,354462,Asia/Kolkata,muzaffarpur bihar
Punāsa,Madhya Pradesh,22.23507,76.39335,350000,Asia/Kolkata,punāsa madhya pradesh
Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,349706,Asia/Kolkata,muzaffarnagar uttar pradesh
Avadi,Tamil Nadu,13.1147,80.10981,345996,Asia/Kolkata,avadi tamil nadu
Kadapa,Andhra Pradesh,14.47995,78.82346,344893,Asia/Kolkata,kadapa andhra pradesh
Kukatpally,Telangana,17.48486,78.41376,341709,Asia/Kolkata,kukatpally telangana
Kāmārhāti,West Bengal,22.67111,88.37472,332965,Asia/Kolkata,kāmārhāti west bengal
Mathura,Uttar Pradesh,27.5035,77.67215,330511,Asia/Kolkata,mathura uttar pradesh
Chānda,Maharashtra,19.95076,79.29523,328351,Asia/Kolkata,chānda maharashtra
Vijayapura,Karnataka,16.82442,75.71537,327427,Asia/Kolkata,vijayapura karnataka
Shivamogga,Karnataka,13.93157,75.56791,322650,Asia/Kolkata,shivamogga karnataka
Alwar,Rajasthan,27.56246,76.625,322568,Asia/Kolkata,alwar rajasthan
Shāhjānpur,Uttar Pradesh,27.88165,79.90918,320434,Asia/Kolkata,shāhjānpur uttar pradesh
Jūnāgadh,Goa,21.51966,70.45981,319462,Asia/Kolkata,jūnāgadh goa
New Delhi,Delhi,28.62137,77.2148,317797,Asia/Kolkata,new delhi delhi
Thrissur,Kerala,10.51667,76.21667,315957,Asia/Kolkata,thrissur kerala
Nizāmābād,Telangana,18.67154,78.0988,311152,Asia/Kolkata,nizāmābād telangana
Tumkūr,Karnataka,13.34136,77.1022,307359,Asia/Kolkata,tumkūr karnataka
Parbhani,Maharashtra,19.26855,76.77081,307170,Asia/Kolkata,parbhani maharashtra
Hisar,Gujarat,29.15394,75.72294,307024,Asia/Kolkata,hisar gujarat
Fīrozābād,Uttar Pradesh,27.15092,78.39781,306409,Asia/Kolkata,fīrozābād uttar pradesh
Kulti,West Bengal,23.73166,86.84372,305405,Asia/Kolkata,kulti west bengal
Karnāl,Gujarat,29.69197,76.98448,302140,Asia/Kolkata,karnāl gujarat
Barddhamān,West Bengal,23.25572,87.85691,301725,Asia/Kolkata,barddhamān west bengal
Gundupālaiyam,Puducherry,11.94096,79.80294,300104,Asia/Kolkata,gundupālaiyam puducherry
Bārāsat,West Bengal,22.72154,88.48198,298127,Asia/Kolkata,bārāsat west bengal
Mulugu,Telangana,18.191,79.943,297671,Asia/Kolkata,mulugu telangana
Bihār Sharīf,Bihar,25.20084,85.52389,297268,Asia/Kolkata,bihār sharīf bihar
Bāli,West Bengal,22.64859,88.34115,296973,Asia/Kolkata,bāli west bengal
Rāmpur,Uttar Pradesh,28.81014,79.02699,296418,Asia/Kolkata,rāmpur uttar pradesh
Darbhanga,Bihar,26.15216,85.89707,296039,Asia/Kolkata,darbhanga bihar
Panipat,Gujarat,29.38747,76.96825,295970,Asia/Kolkata,panipat gujarat
Tirupati,Andhra Pradesh,13.63551,79.41989,295323,Asia/Kolkata,tirupati andhra pradesh
Greater Noida,Uttar Pradesh,28.49615,77.53601,293908,Asia/Kolkata,greater noida uttar pradesh
Noida,Uttar Pradesh,28.58,77.33,293908,Asia/Kolkata,noida uttar pradesh
Aizawl,Mizoram,23.72894,92.71791,293416,Asia/Kolkata,aizawl mizoram
Gandhinagar,Goa,23.21667,72.68333,292797,Asia/Kolkata,gandhinagar goa
Dindigul,Tamil Nadu,10.36896,77.98036,292512,Asia/Kolkata,dindigul tamil nadu
Thanjavur,Tamil Nadu,10.78523,79.13909,291067,Asia/Kolkata,thanjavur tamil nadu
Karīmnagar,Telangana,18.43915,79.12856,289821,Asia/Kolkata,karīmnagar telangana
Dewas,Madhya Pradesh,22.96585,76.05526,289550,Asia/Kolkata,dewas madhya pradesh
Sonīpat,Gujarat,28.99478,77.01937,289333,Asia/Kolkata,sonīpat gujarat
Ichalkaranji,Maharashtra,16.69117,74.46054,287353,Asia/Kolkata,ichalkaranji maharashtra
Bathinda,Punjab,30.20747,74.93893,285788,Asia/Kolkata,bathinda punjab
Jālna,Maharashtra,19.84102,75.88636,285577,Asia/Kolkata,jālna maharashtra
Kirāri Sulemānnagar,Delhi,28.69736,77.0648,283211,Asia/Kolkata,kirāri sulemānnagar delhi
Satna,Madhya Pradesh,24.57726,80.82719,282977,Asia/Kolkata,satna madhya pradesh
Purnia,Bihar,25.77895,87.47422,282248,Asia/Kolkata,purnia bihar
Imphal,Manipur,24.80805,93.9442,277196,Asia/Kolkata,imphal manipur
Saugor,Madhya Pradesh,23.83877,78.73874,274556,Asia/Kolkata,saugor madhya pradesh
Kushinagar,Uttar Pradesh,26.74134,83.88689,274403,Asia/Kolkata,kushinagar uttar pradesh
Rourkela,Odisha,22.22496,84.86414,273317,Asia/Kolkata,rourkela odisha
Durg,Unknown,21.19147,81.27619,268806,Asia/Kolkata,durg unknown
Anantapur,Andhra Pradesh,14.67784,77.60813,267161,Asia/Kolkata,anantapur andhra pradesh
Ratlām,Madhya Pradesh,23.33033,75.04032,264914,Asia/Kolkata,ratlām madhya pradesh
Rānipet,Tamil Nadu,12.92471,79.33331,264330,Asia/Kolkata,rānipet tamil nadu
Lal Bahadur Nagar,Telangana,17.34769,78.55757,261987,Asia/Kolkata,lal bahadur nagar telangana
Arrah,Bihar,25.55629,84.66335,261430,Asia/Kolkata,arrah bihar
Baranagar,West Bengal,22.64132,88.37727,260072,Asia/Kolkata,baranagar west bengal
Gajuwaka,Andhra Pradesh,17.7,83.21667,258944,Asia/Kolkata,gajuwaka andhra pradesh
Etāwah,Uttar Pradesh,26.77615,79.02133,257448,Asia/Kolkata,etāwah uttar pradesh
Ambarnath,Maharashtra,19.2,73.16667,253475,Asia/Kolkata,ambarnath maharashtra
Naihāti,West Bengal,22.89396,88.41521,253221,Asia/Kolkata,naihāti west bengal
Bharatpur,Rajasthan,27.21731,77.49009,252838,Asia/Kolkata,bharatpur rajasthan
Begusarai,Bihar,25.41853,86.13389,252008,Asia/Kolkata,begusarai bihar
Tiruvottiyūr,Tamil Nadu,13.15823,80.30181,249446,Asia/Kolkata,tiruvottiyūr tamil nadu
Gāndhīdhām,Goa,23.08333,70.13333,247992,Asia/Kolkata,gāndhīdhām goa
Mau,Uttar Pradesh,25.94167,83.56111,246050,Asia/Kolkata,mau uttar pradesh
Sīkar,Rajasthan,27.61206,75.13996,244497,Asia/Kolkata,sīkar rajasthan
Ramagundam,Telangana,18.755,79.474,242979,Asia/Kolkata,ramagundam telangana
Hāpur,Uttar Pradesh,28.72985,77.78068,242920,Asia/Kolkata,hāpur uttar pradesh
Farrukhābād,Uttar Pradesh,27.39134,79.5793,241152,Asia/Kolkata,farrukhābād uttar pradesh
Alappuzha,Kerala,9.49004,76.3264,240991,Asia/Kolkata,alappuzha kerala
Katihar,Bihar,25.53852,87.57044,240838,Asia/Kolkata,katihar bihar
Sri Ganganagar,Rajasthan,29.92009,73.87496,237780,Asia/Kolkata,sri ganganagar rajasthan
Rewa,Madhya Pradesh,24.53256,81.29234,235654,Asia/Kolkata,rewa madhya pradesh
Uluberiya,West Bengal,22.4756,88.09898,235345,Asia/Kolkata,uluberiya west bengal
Sivakasi,Tamil Nadu,9.44999,77.79797,234704,Asia/Kolkata,sivakasi tamil nadu
Karur,Tamil Nadu,10.95771,78.08095,234191,Asia/Kolkata,karur tamil nadu
Rāichūr,Karnataka,16.20546,77.35567,234073,Asia/Kolkata,rāichūr karnataka
Pallāvaram,Tamil Nadu,12.96796,80.15025,233984,Asia/Kolkata,pallāvaram tamil nadu
Ooty,Tamil Nadu,11.4134,76.69521,233426,Asia/Kolkata,ooty tamil nadu
Pāli,Rajasthan,25.77276,73.32335,230075,Asia/Kolkata,pāli rajasthan
Hosūr,Tamil Nadu,12.73647,77.83264,229528,Asia/Kolkata,hosūr tamil nadu
Vizianagaram,Andhra Pradesh,18.11692,83.41148,228720,Asia/Kolkata,vizianagaram andhra pradesh
Shrīrāmpur,West Bengal,22.75278,88.34222,226317,Asia/Kolkata,shrīrāmpur west bengal
Quthbullapur,Telangana,17.50107,78.45818,225816,Asia/Kolkata,quthbullapur telangana
Nadiād,Goa,22.69385,72.86157,225071,Asia/Kolkata,nadiād goa
Nāgercoil,Tamil Nadu,8.17899,77.43227,224849,Asia/Kolkata,nāgercoil tamil nadu
Karāwalnagar,Delhi,28.72712,77.27047,224281,Asia/Kolkata,karāwalnagar delhi
Mango,Unknown,22.8275,86.21639,223805,Asia/Kolkata,mango unknown
Murwāra,Madhya Pradesh,23.83776,80.39405,221883,Asia/Kolkata,murwāra madhya pradesh
Kanchipuram,Tamil Nadu,12.83515,79.70006,221715,Asia/Kolkata,kanchipuram tamil nadu
Singrauli,Madhya Pradesh,24.19973,82.67535,220257,Asia/Kolkata,singrauli madhya pradesh
Mirzāpur,Uttar Pradesh,25.1449,82.56534,220029,Asia/Kolkata,mirzāpur uttar pradesh
Kharagpur,West Bengal,22.33971,87.32501,219665,Asia/Kolkata,kharagpur west bengal
Eluru,Andhra Pradesh,16.71311,81.10437,218020,Asia/Kolkata,eluru andhra pradesh
Rāniganj,Telangana,17.42841,78.49361,217910,Asia/Kolkata,rāniganj telangana
Yamuna Nagar,Gujarat,30.12796,77.28371,217071,Asia/Kolkata,yamuna nagar gujarat
Raurkela Industrial Township,Odisha,22.19994,84.86176,216410,Asia/Kolkata,raurkela industrial township odisha
Bidar,Karnataka,17.90802,77.51524,216020,Asia/Kolkata,bidar karnataka
Munger,Bihar,25.37459,86.47455,213303,Asia/Kolkata,munger bihar
Nandyāl,Andhra Pradesh,15.47799,78.4836,211424,Asia/Kolkata,nandyāl andhra pradesh
Panchkula,Gujarat,30.69461,76.8504,211355,Asia/Kolkata,panchkula gujarat
Burhānpur,Madhya Pradesh,21.30868,76.23026,210886,Asia/Kolkata,burhānpur madhya pradesh
Morvi,Goa,22.81731,70.8377,210451,Asia/Kolkata,morvi goa
Anand,Goa,22.55251,72.9552,209410,Asia/Kolkata,anand goa
Ongole,Andhra Pradesh,15.50357,80.04454,208344,Asia/Kolkata,ongole andhra pradesh
Hosapete,Karnataka,15.26954,76.3871,206167,Asia/Kolkata,hosapete karnataka
Nāngloi Jāt,Delhi,28.67957,77.06799,205596,Asia/Kolkata,nāngloi jāt delhi
Secunderabad,Telangana,17.50427,78.54263,204182,Asia/Kolkata,secunderabad telangana
Deoghar,Unknown,24.48983,86.69902,203123,Asia/Kolkata,deoghar unknown
Chāpra,Bihar,25.78031,84.74709,202352,Asia/Kolkata,chāpra bihar
Khandwa,Madhya Pradesh,21.82427,76.35086,200738,Asia/Kolkata,khandwa madhya pradesh
Puri,Odisha,19.79825,85.82494,200564,Asia/Kolkata,puri odisha
Morena,Madhya Pradesh,26.49892,77.99534,200482,Asia/Kolkata,morena madhya pradesh
Gyānpur,Uttar Pradesh,25.33268,82.46637,200000,Asia/Kolkata,gyānpur uttar pradesh
Bulandshahr,Uttar Pradesh,28.40392,77.85773,198612,Asia/Kolkata,bulandshahr uttar pradesh
Bhind,Madhya Pradesh,26.56671,78.78728,197585,Asia/Kolkata,bhind madhya pradesh
Bhālswa Jahangirpur,Delhi,28.73558,77.16682,197148,Asia/Kolkata,bhālswa jahangirpur delhi
Khammam,Telangana,17.24767,80.14368,196283,Asia/Kolkata,khammam telangana
Sambhal,Uttar Pradesh,28.58498,78.56959,196109,Asia/Kolkata,sambhal uttar pradesh
Bhiwāni,Gujarat,28.79304,76.13968,196057,Asia/Kolkata,bhiwāni gujarat
Panvel,Maharashtra,18.98878,73.11013,195373,Asia/Kolkata,panvel maharashtra
Ambāla,Gujarat,30.36099,76.79782,195153,Asia/Kolkata,ambāla gujarat
Kumarapalayam,Tamil Nadu,11.44495,77.71102,195071,Asia/Kolkata,kumarapalayam tamil nadu
Machilīpatnam,Andhra Pradesh,16.18747,81.13888,192827,Asia/Kolkata,machilīpatnam andhra pradesh
Mahesāna,Goa,23.59864,72.38472,190753,Asia/Kolkata,mahesāna goa
Mahbūbnagar,Telangana,16.74385,77.98597,190400,Asia/Kolkata,mahbūbnagar telangana
Sambalpur,Odisha,21.46527,83.97573,189366,Asia/Kolkata,sambalpur odisha
Bhusawal,Maharashtra,21.04365,75.78506,187421,Asia/Kolkata,bhusawal maharashtra
Raebareli,Uttar Pradesh,26.2309,81.23315,186433,Asia/Kolkata,raebareli uttar pradesh
Haridwar,Uttarakhand,29.94791,78.16025,186079,Asia/Kolkata,haridwar uttarakhand
Phusro,Unknown,23.75644,86.0051,185555,Asia/Kolkata,phusro unknown
Adoni,Andhra Pradesh,15.62788,77.27495,184625,Asia/Kolkata,adoni andhra pradesh
Sūjāngarh,Rajasthan,27.7,74.46667,183808,Asia/Kolkata,sūjāngarh rajasthan
Sirsa,Gujarat,29.53489,75.02898,182534,Asia/Kolkata,sirsa gujarat
Dinapur Nizamat,Bihar,25.63847,85.05118,182429,Asia/Kolkata,dinapur nizamat bihar
Bahraigh,Uttar Pradesh,27.57429,81.59474,182218,Asia/Kolkata,bahraigh uttar pradesh
Kāraikkudi,Tamil Nadu,10.06615,78.76784,181851,Asia/Kolkata,kāraikkudi tamil nadu
Sultan Pur Majra,Delhi,28.68966,77.07648,181554,Asia/Kolkata,sultan pur majra delhi
Guna,Madhya Pradesh,24.64691,77.3113,180935,Asia/Kolkata,guna madhya pradesh
Chandannagar,West Bengal,22.86225,88.36796,180623,Asia/Kolkata,chandannagar west bengal
Baharampur,West Bengal,24.10473,88.25155,180547,Asia/Kolkata,baharampur west bengal
Shahuwadi,Maharashtra,16.90993,73.94654,180322,Asia/Kolkata,shahuwadi maharashtra
Madanapalle,Andhra Pradesh,13.5503,78.50288,180180,Asia/Kolkata,madanapalle andhra pradesh
Shivpuri,Madhya Pradesh,25.42378,77.66223,179977,Asia/Kolkata,shivpuri madhya pradesh
Surendranagar,Goa,22.72706,71.64856,179628,Asia/Kolkata,surendranagar goa
Neyveli,Tamil Nadu,11.60877,79.4994,179150,Asia/Kolkata,neyveli tamil nadu
Silchar,Arunachal Pradesh,24.82733,92.79787,178865,Asia/Kolkata,silchar arunachal pradesh
Proddatūr,Andhra Pradesh,14.7502,78.54813,177797,Asia/Kolkata,proddatūr andhra pradesh
