name,state,latitude,longitude,population,timezone,search_name
Williamnagar,Meghalaya,25.4955,90.6168,24597,Asia/Kolkata,williamnagar meghalaya
Bijbehara,Jammu and Kashmir,33.79378,75.107,24590,Asia/Kolkata,bijbehara jammu and kashmir
Gorantla,Andhra Pradesh,13.98411,77.77224,24586,Asia/Kolkata,gorantla andhra pradesh
Dātāganj,Uttar Pradesh,28.0253,79.40819,24562,Asia/Kolkata,dātāganj uttar pradesh
Tiruppuvanam,Tamil Nadu,9.82564,78.25795,24554,Asia/Kolkata,tiruppuvanam tamil nadu
Beohāri,Madhya Pradesh,24.02423,81.37831,24545,Asia/Kolkata,beohāri madhya pradesh
Pantheeramkavu,Kerala,11.23052,75.85178,24537,Asia/Kolkata,pantheeramkavu kerala
Chharra,Uttar Pradesh,27.9247,78.40102,24535,Asia/Kolkata,chharra uttar pradesh
Hudkeshwar Buzurg,Maharashtra,21.08235,79.12736,24499,Asia/Kolkata,hudkeshwar buzurg maharashtra
Pindwāra,Rajasthan,24.79749,73.05505,24487,Asia/Kolkata,pindwāra rajasthan
Singāpur,Telangana,17.46982,78.12574,24457,Asia/Kolkata,singāpur telangana
Sahaspur,Uttar Pradesh,29.12125,78.62273,24452,Asia/Kolkata,sahaspur uttar pradesh
Ugrākheri,Gujarat,29.378,77.00934,24440,Asia/Kolkata,ugrākheri gujarat
Kānt,Uttar Pradesh,27.81049,79.79185,24430,Asia/Kolkata,kānt uttar pradesh
Bhokardan,Maharashtra,20.2583,75.76997,24416,Asia/Kolkata,bhokardan maharashtra
